# Source: https://gist.github.com/art0007i/018c94ee9c8701a8c2a0419599d80fbc/
tag,url,slotName
pride transinclusivegaymen,resdb:///4fc225ad2e049151827a88d5ea385bf2f67c881a7b7310c91ede94b8b43feb07.png,Trans-Inclusive Gay Men
pride twospirit,resdb:///8a7de000cfaa3edaa78b3266c31e2e33aec37ba3f2c5eb7c89ab106becae46b8.png,Two-Spirit
pride straightally,resdb:///9013e041e2051e6f7494fb911f90f449e2dd3130a9307061383c201d2cde04a9.png,Straight Ally
vblfc,resdb:///a3a9380f5e4b97b686dbc64e30fd7eae6ff325eb00eba785c1646df5d451431f.png,VBLFC
vfe22,resdb:///d9654f19b527972427b4793fdfbad8abb680a1f159dd2e80ce1b35cf27590237.png,Virtual Furnal Equinox 2022
vket24 participant,resdb:///c5c2029730efdf65b1eeed61dcc40103b16d10c2c42b76226593dd77b8dd193e.png,VKet 2024 Participant
jmof25,resdb:///057beb177e1519bb6cd0cf37e961117b9739e966ee5ab5b4b9415aa33eb71660.png,VR Japan Meeting of Furries 2025
[mobile],resdb:///8d5159ddf47538624b3e39c820607da8af81ac962db2a8898cbc7204f2cd91e0.png,Mobile
[linux],resdb:///0a1ffbeb7be0b7378dd22e9e03696d826a2a19441aba7a2f541fa46a634726bc.png,Linux
[host],resdb:///cef8313f2418512a52c718a505c8882684dfa6556bdf2af1da655d3e6a0f878e.png,Host
[2018],resdb:///758f482be4799543d4399ca3602dd15e1cccc8895d681730fe3a8be2d10e1e40.png,2018 Spark
[2019],resdb:///8dec49b9f77d631607223dd0dd9f47817a7f34b508e9f4a2c97a601b9e36103f.png,2019 Flame
[2020],resdb:///e829026c8bc2d7e0b98da11757289f9ec85261cd1d97c8863e353246204fbce9.png,2020 Bonfire
[2021],resdb:///aed9b3fadec212ed91eb5c0ff81d2ec9e9ba017ea3ab58587c8c654d5405d43e.png,2021 Firework
[2022],resdb:///36a607c8b4c0f26624300d55462892ceb0999dcfc17e4fd7abebbf66f5a7af78.png,2022 Snowflake
[2023],resdb:///af48a3afdf433f3f33ea532028a9a7ccf82f2504231a27edf0593b33814c3899.png,2023 Dawn Spire
[baguette],resdb:///1e836cc2cdf38f588aac629aa51e3ad5ac8db5b22ee4a3247e7e10a6826ea482.png,Baguette
[headless],resdb:///2352f95409ee80e7a12d6ccb0e253aee2794673d2bd0db83fb5e4d4ea6eb17a2.png,Headless
[supporter],resdb:///ef12d18cf37c0255ccae7ca1bf8d2856ed2d9d10f364ffd33cf1782a3143f0fc.png,Supporter
